run,epoch,agent,time,c,reward,theta,std,theta_maximum,theta_minimum,Regret,name,num_agents,base
2,1,6,11,25,1.6871575713157654,0.0,8.765462528203136,30.0,0.0,28.312842428684235,UCB,10,100
2,1,7,10,25,0.6706104278564453,0.0,8.765462528203136,30.0,0.0,29.329389572143555,UCB,10,100
2,1,8,9,25,1.8398558497428894,0.0,8.765462528203136,30.0,0.0,28.16014415025711,UCB,10,100
2,1,9,8,25,2.0175870452076197,0.0,8.765462528203136,30.0,0.0,27.98241295479238,UCB,10,100
2,1,10,8,25,2.5951531529426575,0.0,8.765462528203136,30.0,0.0,27.404846847057343,UCB,10,100
2,1,6,12,25,1.8929811045527458,0.0,8.765462528203136,30.0,0.0,28.107018895447254,UCB,10,100
2,1,7,11,25,3.139984965324402,0.0,8.765462528203136,30.0,0.0,26.860015034675598,UCB,10,100
2,1,8,10,25,2.993871331214905,0.0,8.765462528203136,30.0,0.0,27.006128668785095,UCB,10,100
2,1,9,9,25,2.578927159309387,0.0,8.765462528203136,30.0,0.0,27.421072840690613,UCB,10,100
2,1,10,9,25,2.4516992270946503,0.0,8.765462528203136,30.0,0.0,27.54830077290535,UCB,10,100
2,1,7,12,25,1.9216815158724785,0.0,8.765462528203136,30.0,0.0,28.07831848412752,UCB,10,100
2,1,8,11,25,2.874039947986603,0.0,8.765462528203136,30.0,0.0,27.125960052013397,UCB,10,100
2,1,9,10,25,2.4414897561073303,0.0,8.765462528203136,30.0,0.0,27.55851024389267,UCB,10,100
2,1,10,10,25,4.7739338874816895,0.0,8.765462528203136,30.0,0.0,25.22606611251831,UCB,10,100
2,1,8,12,25,2.0001715001126286,0.0,8.765462528203136,30.0,0.0,27.99982849988737,UCB,10,100
2,1,9,11,25,1.8443340063095093,0.0,8.765462528203136,30.0,0.0,28.15566599369049,UCB,10,100
2,1,10,11,25,1.006285846233368,0.0,8.765462528203136,30.0,0.0,28.993714153766632,UCB,10,100
2,1,9,12,25,2.765389561653137,0.0,8.765462528203136,30.0,0.0,27.234610438346863,UCB,10,100
2,1,10,12,25,1.5497839152812958,0.0,8.765462528203136,30.0,0.0,28.450216084718704,UCB,10,100
